	Nº de reads amostradas	Amostra	Riqueza média
0	0	A	0.0
1	500	A	41.0
2	1000	A	43.1
3	1500	A	43.8
4	2000	A	43.8
5	2500	A	44.0
6	3000	A	44.0
7	3500	A	44.0
8	4000	A	43.9
9	4500	A	44.0
10	5000	A	44.0
11	5500	A	44.0
12	6000	A	44.0
13	6500	A	44.0
14	7000	A	44.0
15	7500	A	44.0
16	8000	A	44.0
17	8500	A	44.0
18	9000	A	44.0
19	9500	A	44.0
20	10000	A	44.0
21	10500	A	44.0
22	11000	A	44.0
23	11500	A	44.0
24	12000	A	44.0
25	12500	A	44.0
26	13000	A	44.0
27	13500	A	44.0
28	14000	A	44.0
29	14500	A	44.0
30	15000	A	44.0
31	15500	A	44.0
32	16000	A	44.0
33	16500	A	44.0
34	17000	A	44.0
35	17500	A	44.0
36	18000	A	44.0
37	18500	A	44.0
38	19000	A	44.0
39	19500	A	44.0
40	20000	A	44.0
41	20500	A	44.0
42	21000	A	44.0
43	21500	A	44.0
44	22000	A	44.0
45	22500	A	44.0
46	23000	A	44.0
47	23500	A	44.0
48	24000	A	44.0
49	24500	A	44.0
50	25000	A	44.0
51	25500	A	44.0
52	26000	A	44.0
53	26500	A	44.0
54	27000	A	44.0
55	27500	A	44.0
56	28000	A	44.0
57	28500	A	44.0
58	29000	A	44.0
59	29500	A	44.0
60	30000	A	44.0
61	30500	A	44.0
62	31000	A	44.0
63	31500	A	44.0
64	32000	A	44.0
65	32500	A	44.0
66	33000	A	44.0
67	33500	A	44.0
68	34000	A	44.0
69	34500	A	44.0
70	35000	A	44.0
71	35500	A	44.0
72	36000	A	44.0
73	36500	A	44.0
74	37000	A	44.0
75	37500	A	44.0
76	38000	A	44.0
77	38500	A	44.0
78	39000	A	44.0
79	39500	A	44.0
80	40000	A	44.0
81	40500	A	44.0
82	41000	A	44.0
83	41500	A	44.0
84	42000	A	44.0
85	42500	A	44.0
86	43000	A	44.0
87	43500	A	44.0
88	44000	A	44.0
89	44500	A	44.0
90	45000	A	44.0
91	45500	A	44.0
92	46000	A	44.0
93	46500	A	44.0
94	47000	A	44.0
95	47500	A	44.0
96	48000	A	44.0
97	48500	A	44.0
98	49000	A	44.0
99	49500	A	44.0
100	50000	A	44.0
101	50500	A	44.0
102	51000	A	44.0
103	51500	A	44.0
104	52000	A	44.0
105	52500	A	44.0
106	53000	A	44.0
107	53500	A	44.0
108	54000	A	44.0
109	54500	A	44.0
110	55000	A	44.0
111	55500	A	44.0
112	56000	A	44.0
113	56500	A	44.0
114	57000	A	44.0
115	0	B	0.0
116	500	B	38.0
117	1000	B	38.5
118	1500	B	38.7
119	2000	B	38.9
120	2500	B	39.0
121	3000	B	39.0
122	3500	B	39.0
123	4000	B	39.0
124	4500	B	38.9
125	5000	B	39.0
126	5500	B	39.0
127	6000	B	39.0
128	6500	B	39.0
129	7000	B	39.0
130	7500	B	39.0
131	8000	B	39.0
132	8500	B	39.0
133	9000	B	39.0
134	9500	B	39.0
135	10000	B	39.0
136	10500	B	39.0
137	11000	B	39.0
138	11500	B	39.0
139	12000	B	39.0
140	12500	B	39.0
141	13000	B	39.0
142	13500	B	39.0
143	14000	B	39.0
144	14500	B	39.0
145	15000	B	39.0
146	15500	B	39.0
147	16000	B	39.0
148	16500	B	39.0
149	17000	B	39.0
150	17500	B	39.0
151	18000	B	39.0
152	18500	B	39.0
153	19000	B	39.0
154	19500	B	39.0
155	20000	B	39.0
156	20500	B	39.0
157	21000	B	39.0
158	21500	B	39.0
159	22000	B	39.0
160	22500	B	39.0
161	23000	B	39.0
162	23500	B	39.0
163	24000	B	39.0
164	24500	B	39.0
165	25000	B	39.0
166	25500	B	39.0
167	26000	B	39.0
168	26500	B	39.0
169	27000	B	39.0
170	27500	B	39.0
171	28000	B	39.0
172	28500	B	39.0
173	29000	B	39.0
174	29500	B	39.0
175	30000	B	39.0
176	30500	B	39.0
177	31000	B	39.0
178	31500	B	39.0
179	32000	B	39.0
180	32500	B	39.0
181	33000	B	39.0
182	33500	B	39.0
183	34000	B	39.0
184	34500	B	39.0
185	35000	B	39.0
186	35500	B	39.0
187	36000	B	39.0
188	36500	B	39.0
189	37000	B	39.0
190	37500	B	39.0
191	38000	B	39.0
192	38500	B	39.0
193	39000	B	39.0
194	39500	B	39.0
195	40000	B	39.0
196	40500	B	39.0
197	41000	B	39.0
198	41500	B	39.0
199	42000	B	39.0
200	42500	B	39.0
201	43000	B	39.0
202	43500	B	39.0
203	44000	B	39.0
204	44500	B	39.0
205	45000	B	39.0
206	45500	B	39.0
207	46000	B	39.0
208	46500	B	39.0
209	47000	B	39.0
210	47500	B	39.0
211	48000	B	39.0
212	48500	B	39.0
213	49000	B	39.0
214	49500	B	39.0
215	50000	B	39.0
216	50500	B	39.0
217	51000	B	39.0
218	51500	B	39.0
219	52000	B	39.0
220	52500	B	39.0
221	53000	B	39.0
222	53500	B	39.0
223	54000	B	39.0
224	54500	B	39.0
225	55000	B	39.0
226	55500	B	39.0
227	56000	B	39.0
228	56500	B	39.0
229	57000	B	39.0
230	0	C	0.0
231	500	C	37.4
232	1000	C	38.8
233	1500	C	38.9
234	2000	C	39.3
235	2500	C	39.0
236	3000	C	39.4
237	3500	C	39.4
238	4000	C	39.5
239	4500	C	39.5
240	5000	C	39.6
241	5500	C	39.5
242	6000	C	39.7
243	6500	C	39.8
244	7000	C	39.8
245	7500	C	39.9
246	8000	C	39.7
247	8500	C	39.8
248	9000	C	39.8
249	9500	C	39.8
250	10000	C	39.9
251	10500	C	39.9
252	11000	C	39.9
253	11500	C	39.8
254	12000	C	39.8
255	12500	C	40.0
256	13000	C	39.9
257	13500	C	39.8
258	14000	C	40.0
259	14500	C	39.9
260	15000	C	40.0
261	15500	C	40.0
262	16000	C	40.0
263	16500	C	40.0
264	17000	C	40.0
265	17500	C	39.9
266	18000	C	40.0
267	18500	C	39.9
268	19000	C	39.9
269	19500	C	40.0
270	20000	C	39.9
271	20500	C	39.9
272	21000	C	40.0
273	21500	C	40.0
274	22000	C	40.0
275	22500	C	40.0
276	23000	C	40.0
277	23500	C	40.0
278	24000	C	40.0
279	24500	C	40.0
280	25000	C	39.9
281	25500	C	40.0
282	26000	C	40.0
283	26500	C	40.0
284	27000	C	40.0
285	27500	C	40.0
286	28000	C	40.0
287	28500	C	40.0
288	29000	C	40.0
289	29500	C	40.0
290	30000	C	39.9
291	30500	C	40.0
292	31000	C	40.0
293	31500	C	40.0
294	32000	C	40.0
295	32500	C	40.0
296	33000	C	40.0
297	33500	C	40.0
298	34000	C	40.0
299	34500	C	40.0
300	35000	C	40.0
301	35500	C	40.0
302	36000	C	40.0
303	36500	C	40.0
304	37000	C	40.0
305	37500	C	40.0
306	38000	C	40.0
307	38500	C	40.0
308	39000	C	40.0
309	39500	C	40.0
310	40000	C	40.0
311	40500	C	40.0
312	41000	C	40.0
313	41500	C	40.0
314	42000	C	40.0
315	42500	C	40.0
316	43000	C	40.0
317	43500	C	40.0
318	44000	C	40.0
319	44500	C	40.0
320	45000	C	40.0
321	45500	C	40.0
322	46000	C	40.0
323	46500	C	40.0
324	47000	C	40.0
325	47500	C	40.0
326	48000	C	40.0
327	48500	C	40.0
328	49000	C	40.0
329	49500	C	40.0
330	50000	C	40.0
331	50500	C	40.0
332	51000	C	40.0
333	51500	C	40.0
334	52000	C	40.0
335	52500	C	40.0
336	53000	C	40.0
337	53500	C	40.0
338	54000	C	40.0
339	54500	C	40.0
340	55000	C	40.0
341	55500	C	40.0
342	56000	C	40.0
343	56500	C	40.0
344	57000	C	40.0
345	0	D	0.0
346	500	D	35.5
347	1000	D	37.6
348	1500	D	38.0
349	2000	D	38.2
350	2500	D	38.6
351	3000	D	38.2
352	3500	D	38.7
353	4000	D	38.5
354	4500	D	38.6
355	5000	D	38.7
356	5500	D	38.8
357	6000	D	38.8
358	6500	D	38.8
359	7000	D	38.9
360	7500	D	38.8
361	8000	D	38.9
362	8500	D	38.9
363	9000	D	38.8
364	9500	D	39.0
365	10000	D	38.9
366	10500	D	39.0
367	11000	D	39.0
368	11500	D	39.0
369	12000	D	39.0
370	12500	D	39.0
371	13000	D	39.0
372	13500	D	38.9
373	14000	D	39.0
374	14500	D	39.0
375	15000	D	39.0
376	15500	D	38.9
377	16000	D	39.0
378	16500	D	39.0
379	17000	D	39.0
380	17500	D	39.0
381	18000	D	39.0
382	18500	D	39.0
383	19000	D	39.0
384	19500	D	39.0
385	20000	D	39.0
386	20500	D	39.0
387	21000	D	39.0
